#,Event Ids,Event Names,Event Dates,Event Times,Event Links
1,01A6228,"Clearance and Demolition Services Fortuna, CA",08/16/22,2:00PM PDT,https://caleprocure.ca.gov/pages/public-search.aspx
2,02A2151,IFB Janitorial and Custodial Grounds Maintenance Services at the Secret Valley Safety Roadside Rest Area (SRRA) in Lassen County.,08/16/22,2:00PM PDT,https://caleprocure.ca.gov/event/2660/01A6228
3,03A3492,SB Minor B 03A3492 - Install Cured-In-Place Pipeliners in Placer County,08/19/22,2:15PM PDT,https://caleprocure.ca.gov/event/2660/02A2151
4,03A3503,"SB Minor B 03A3503-Roadway Excavation, place HMA overside drain and HMA dike in Yolo County",08/17/22,2:15PM PDT,https://caleprocure.ca.gov/event/2660/03A3492
5,04A6476,IFB Multiple Provider Unsheltered Resident Encampment Site Waste Removal and Cleanup or Clean Only Services in the East Bay Area,08/18/22,2:00PM PDT,https://caleprocure.ca.gov/event/2660/03A3503
6,04A6497,"Operated Equipment Rental Services in Alameda, Contra Costa, Sacramento, Solano, San Mateo, Lake, San Francisco, Santa Clara, Marin, Sonoma, and Napa Counties",08/16/22,2:00PM PDT,https://caleprocure.ca.gov/event/2660/04A6476
7,04A6498,"Operated Equipment Rental Services in Alameda, Contra Costa, Sacramento, Solano, San Mateo, San Francisco, Lake, Santa Clara, Marin, Sonoma, and Napa Counties",08/18/22,2:00PM PDT,https://caleprocure.ca.gov/event/2660/04A6497
8,04A6510,"IFB Janitorial Services in Santa Clara County, San Mateo County, and San Francisco County",08/16/22,2:00PM PDT,https://caleprocure.ca.gov/event/2660/04A6498
9,04A6524,SB Minor B 04A6524 Install Midwest Guardrail System in Solano county,08/23/22,2:15PM PDT,https://caleprocure.ca.gov/event/2660/04A6510
10,06A2855,"IFB Trash and Recycle Pick-up, Hauling, and Disposal Services in Kern County",08/16/22,2:00PM PDT,https://caleprocure.ca.gov/event/2660/04A6524
11,09A0882,IFB Concrete Sidewalk Repairs and Picnic Tables Replacement Services,08/25/22,2:00PM PDT,https://caleprocure.ca.gov/event/2660/06A2855
12,10A2418,"Inductive Loop Detector Repair and Replacement in Amador, Alpine, Calaveras, Mariposa, Merced, San Joaquin, Stanislaus, and Tuolumne Counties",08/16/22,2:30PM PDT,https://caleprocure.ca.gov/event/2660/09A0882
13,10A2440,"Trash and Recycling Collection, Hauling, and Disposal Services within Calaveras County",08/18/22,2:00PM PDT,https://caleprocure.ca.gov/event/2660/10A2418
14,10A2445,SB Minor B 10A2445 Concrete Invert Paving and Rock Slope Protection in Mariposa County,08/12/22,2:15PM PDT,https://caleprocure.ca.gov/event/2660/10A2440
15,32A0541,"IFB Auctioneering Services to Dispose of Retired Equipment, Northern California",08/16/22,2:00PM PDT,https://caleprocure.ca.gov/event/2660/10A2445
